date,Rat_education_Jeanne,Rat_education_Donnell,Rat_education_Matt,Rat_education_Alyson,Rat_education_Willy,Rat_education_Susana,Rat_public_Maxine,Rat_lodging_Lucille,Rat_office_Ashlee,Rat_education_Cinthia,Rat_education_Dianne,Rat_office_Chris,Rat_public_Lea,Rat_education_Gricelda,Rat_lodging_Lakisha
2016-01-01 20:00:00,44.35,58.44,68.83,56.38,63.16,19.2,111.43,1.84,38.36,76.31,140.4,672.06,92.84,14.22,2.16
2016-01-01 21:00:00,44.35,60.6,68.98,57.23,63.34,19.2,109.51,1.64,37.04,73.99,142.91,671.28,93.56,14.22,2.6
2016-01-01 22:00:00,44.35,62.29,68.69,57.91,63.34,19.2,109.87,1.68,39.14,62.31,139.8,672.48,96.5,14.22,2.16
2016-01-01 23:00:00,44.35,56.55,68.17,56.74,63.36,19.2,110.24,1.56,37.01,33.98,142.66,671.94,94.32,14.22,2.32
2016-01-02 00:00:00,44.35,55.03,68.46,58.01,63.54,19.2,106.31,2.68,38.14,33.69,135.59,670.98,95.24,14.22,2.2
2016-01-02 01:00:00,44.35,60.11,69.04,57.74,63.19,19.2,111.21,2.0,37.28,33.68,132.75,670.8,96.77,14.22,2.32
2016-01-02 02:00:00,44.35,58.69,68.54,58.41,63.5,19.2,107.03,1.88,37.19,34.13,138.67,673.74,96.32,14.22,1.96
2016-01-02 03:00:00,44.35,61.36,68.36,58.45,63.27,19.2,110.44,1.56,38.1,34.26,141.11,669.9,96.59,14.22,2.36
2016-01-02 04:00:00,44.35,61.09,68.04,58.79,63.86,19.2,109.87,1.36,37.4,34.02,144.52,662.52,97.57,14.22,2.44
2016-01-02 05:00:00,44.35,58.14,67.9,58.87,63.67,19.2,113.07,1.4,40.04,35.78,142.01,663.42,98.09,14.22,2.64
2016-01-02 06:00:00,44.35,59.2,67.96,58.44,64.23,19.2,114.11,1.32,38.72,35.93,144.79,665.28,96.23,14.22,2.32
2016-01-02 07:00:00,44.35,62.0,68.08,58.43,63.98,19.2,114.19,1.44,39.99,34.3,141.05,657.24,97.93,14.22,2.0
2016-01-02 08:00:00,44.35,151.85,66.77,57.69,60.32,19.2,116.25,1.68,38.38,33.1,148.31,662.28,84.29,14.22,2.12
2016-01-02 09:00:00,44.35,160.61,66.46,57.02,71.94,19.2,113.41,1.72,38.02,32.79,134.86,670.26,76.35,14.22,2.44
2016-01-02 10:00:00,44.35,157.84,66.28,56.38,75.08,19.2,114.66,1.6,36.33,32.7,138.99,664.5,73.53,14.22,2.36
2016-01-02 11:00:00,44.35,158.25,66.58,55.49,74.21,19.2,109.71,1.48,35.8,33.84,131.0,666.12,75.46,14.22,2.44
2016-01-02 12:00:00,44.35,161.17,66.49,55.82,76.36,19.2,113.42,1.64,37.15,34.4,128.57,674.82,73.45,14.22,2.08
2016-01-02 13:00:00,44.35,157.46,66.64,55.4,73.56,19.2,109.24,1.72,35.79,34.13,124.86,679.26,72.54,14.22,2.48
2016-01-02 14:00:00,44.35,159.94,66.49,56.4,75.73,19.2,104.97,1.96,36.39,35.15,124.52,676.5,72.35,14.22,2.12
2016-01-02 15:00:00,44.35,154.38,67.06,57.06,74.87,19.2,105.37,2.12,36.9,35.25,124.74,673.26,71.81,14.22,1.8
2016-01-02 16:00:00,44.35,155.22,67.34,56.84,69.99,19.2,103.65,2.36,35.84,35.15,119.25,672.6,71.48,14.22,1.88
2016-01-02 17:00:00,44.35,142.94,67.56,54.84,68.26,19.2,104.74,2.36,37.26,57.24,120.81,664.68,71.22,14.22,1.84
2016-01-02 18:00:00,44.35,123.79,67.39,53.66,72.76,19.2,101.9,2.32,36.26,74.81,122.32,664.62,88.98,14.22,2.04
2016-01-02 19:00:00,44.35,125.17,68.09,54.01,64.38,19.2,105.26,2.52,36.36,77.53,137.35,668.22,92.63,14.22,1.72
2016-01-02 20:00:00,44.35,129.4,67.84,54.8,61.75,19.2,107.21,2.28,37.82,76.26,132.58,661.08,93.04,14.22,2.24
2016-01-02 21:00:00,44.35,132.31,67.72,54.68,62.15,19.2,104.71,1.76,36.42,74.44,140.3,664.32,94.68,14.22,2.4
2016-01-02 22:00:00,44.35,132.14,67.66,55.08,61.91,19.2,107.37,1.72,36.9,63.84,140.51,669.06,93.89,14.22,1.76
2016-01-02 23:00:00,44.35,128.7,68.35,56.23,62.02,19.2,106.57,1.64,37.62,33.75,142.01,661.2,94.53,14.22,1.92
2016-01-03 00:00:00,44.35,127.95,68.57,57.24,62.36,19.2,107.04,1.76,36.63,34.28,141.82,662.28,94.36,14.22,1.88
2016-01-03 01:00:00,44.35,129.97,69.31,57.3,62.38,19.2,109.22,2.16,37.92,33.77,135.54,667.56,97.39,14.22,2.04
2016-01-03 02:00:00,44.35,128.84,68.44,56.98,62.13,19.2,107.46,1.76,36.9,34.04,142.04,672.66,97.1,14.22,2.04
2016-01-03 03:00:00,44.35,129.67,68.99,57.78,62.47,19.2,109.39,1.48,38.02,33.89,134.12,665.1,98.04,14.22,2.12
2016-01-03 04:00:00,44.35,132.21,69.04,57.7,62.4,19.2,109.06,1.6,40.06,34.16,142.58,661.26,97.99,14.22,2.04
2016-01-03 05:00:00,44.35,129.92,69.18,58.43,64.16,19.2,113.03,1.68,38.48,36.82,138.99,660.3,98.38,14.22,1.92
2016-01-03 06:00:00,44.35,128.23,69.07,58.31,64.3,19.2,111.81,1.84,38.94,36.52,143.68,658.92,97.23,14.22,1.88
2016-01-03 07:00:00,44.35,131.84,68.89,57.1,63.37,19.2,115.71,1.52,39.23,33.97,141.65,658.68,97.85,14.22,1.88
2016-01-03 08:00:00,44.35,131.49,67.69,59.62,60.42,19.2,113.37,1.32,38.19,33.24,144.53,657.06,85.44,14.22,2.0
2016-01-03 09:00:00,44.35,128.04,67.74,58.05,65.33,19.2,115.2,1.4,38.92,31.83,136.54,658.62,76.35,14.22,1.92
2016-01-03 10:00:00,44.35,135.64,67.89,56.43,72.52,19.2,112.47,1.28,35.78,33.21,129.75,662.4,76.14,14.22,1.92
2016-01-03 11:00:00,44.35,140.7,68.26,54.39,71.78,19.2,112.05,1.44,35.9,33.83,130.46,663.54,75.1,14.22,1.92
2016-01-03 12:00:00,44.35,149.06,68.92,53.33,74.69,19.2,109.19,2.04,37.17,34.05,127.93,666.72,70.72,14.22,2.0
2016-01-03 13:00:00,44.35,139.67,68.32,52.51,70.54,19.2,107.02,1.6,35.71,34.59,126.97,671.46,71.37,14.22,1.92
2016-01-03 14:00:00,44.35,140.9,66.79,53.68,71.16,19.2,106.94,1.76,35.74,34.13,132.51,675.78,71.02,14.22,2.12
2016-01-03 15:00:00,44.35,141.92,66.57,55.48,71.2,19.2,100.39,1.56,37.04,35.25,129.45,677.76,69.05,14.22,2.12
2016-01-03 16:00:00,44.35,144.6,66.56,55.16,71.49,19.2,100.37,2.12,35.88,35.03,133.66,667.5,69.83,14.22,2.08
2016-01-03 17:00:00,44.35,122.46,68.12,55.01,70.06,19.2,102.74,2.52,35.89,57.34,124.7,664.92,67.53,14.22,2.28
2016-01-03 18:00:00,44.35,125.63,68.75,56.02,74.93,19.2,101.06,2.2,38.04,75.34,122.72,667.68,84.56,14.22,2.28
2016-01-03 19:00:00,44.35,126.25,69.3,56.65,75.12,19.2,109.85,1.84,38.74,76.91,128.65,669.36,93.56,14.22,2.52
2016-01-03 20:00:00,44.35,130.62,69.82,57.59,76.12,19.2,110.36,2.2,38.61,77.76,125.96,659.82,94.61,14.22,2.32
2016-01-03 21:00:00,44.35,132.57,69.32,57.62,75.5,19.2,110.59,1.76,39.6,74.93,138.87,660.54,94.61,14.22,2.16
2016-01-03 22:00:00,44.35,132.52,69.52,58.09,75.13,19.2,110.62,1.68,38.99,63.82,137.68,672.06,94.1,14.22,2.12
2016-01-03 23:00:00,44.35,130.62,69.91,57.5,73.27,19.2,109.93,2.0,38.49,33.86,138.76,661.74,94.36,14.22,2.0
2016-01-04 00:00:00,44.35,127.96,69.65,57.23,66.65,19.2,109.54,2.08,39.48,33.86,136.32,665.46,95.82,14.22,2.08
2016-01-04 01:00:00,44.35,128.09,70.09,56.72,66.67,19.2,112.14,1.96,36.88,34.23,140.3,660.78,95.69,14.22,2.44
2016-01-04 02:00:00,44.35,127.95,69.23,57.68,66.58,19.2,108.93,1.96,36.32,33.76,142.47,664.5,96.26,14.22,2.56
2016-01-04 03:00:00,44.35,131.9,69.35,57.25,66.35,19.2,113.26,2.0,37.22,33.62,139.71,659.34,96.78,14.22,3.92
2016-01-04 04:00:00,44.35,126.8,68.89,57.73,66.86,19.2,112.33,2.48,36.85,33.99,147.15,658.8,97.09,14.22,3.8
2016-01-04 05:00:00,44.35,128.0,69.45,56.89,66.87,19.2,114.51,4.12,36.3,36.59,142.06,658.26,96.74,14.22,3.72
2016-01-04 06:00:00,44.35,129.9,78.12,57.97,67.25,19.2,120.95,2.12,37.43,47.75,145.36,677.7,97.32,14.22,3.0
2016-01-04 07:00:00,44.35,144.31,163.47,60.59,76.23,19.2,118.6,3.04,38.2,92.34,158.8,701.04,98.3,14.22,1.88
2016-01-04 08:00:00,44.35,244.14,182.92,67.56,92.49,19.2,156.9,3.2,49.39,103.54,188.29,749.94,92.85,14.22,1.96
2016-01-04 09:00:00,44.35,255.86,193.31,70.43,111.35,19.2,198.28,2.04,56.53,106.15,198.7,821.76,77.76,14.22,2.0
2016-01-04 10:00:00,44.35,250.88,194.8,72.38,120.74,19.2,213.7,2.08,61.2,106.04,205.44,872.64,77.39,14.22,1.92
2016-01-04 11:00:00,44.35,254.96,198.66,71.65,120.86,19.2,211.88,2.24,61.93,106.55,192.39,784.14,77.73,14.22,2.2
2016-01-04 12:00:00,44.35,257.38,190.07,71.29,118.21,19.2,194.72,2.32,65.23,101.94,202.73,598.62,76.98,14.22,2.28
2016-01-04 13:00:00,44.35,260.38,184.4,69.6,117.49,19.2,195.84,2.4,63.02,96.03,183.44,597.0,75.99,14.22,2.24
2016-01-04 14:00:00,44.35,246.07,183.7,70.58,113.05,19.2,187.15,2.2,62.8,97.22,196.12,586.2,75.49,14.22,2.28
2016-01-04 15:00:00,44.35,253.87,184.25,68.41,114.33,19.2,170.11,2.0,64.49,92.92,182.75,580.92,77.2,14.22,2.52
2016-01-04 16:00:00,44.35,259.32,162.76,65.0,107.56,19.2,171.08,2.04,61.92,92.88,179.16,579.6,77.44,14.22,2.16
2016-01-04 17:00:00,44.35,256.08,141.62,64.82,94.74,19.2,168.46,2.12,58.51,98.18,175.34,604.5,78.6,14.22,2.24
2016-01-04 18:00:00,44.35,262.0,131.28,64.65,88.76,19.2,172.67,2.96,53.14,99.72,184.52,628.86,94.69,14.22,2.08
2016-01-04 19:00:00,44.35,250.19,89.55,64.69,79.02,19.2,165.44,2.96,53.26,86.65,183.5,685.62,101.59,14.22,2.56
2016-01-04 20:00:00,44.35,227.43,77.81,66.32,73.81,19.2,159.68,2.52,51.66,82.38,170.82,748.86,102.46,14.22,2.4
2016-01-04 21:00:00,44.35,183.06,77.2,66.05,69.14,19.2,151.84,2.6,39.38,78.8,165.71,775.02,102.72,14.22,2.52
2016-01-04 22:00:00,44.35,159.84,76.48,66.79,69.48,19.2,142.87,2.56,39.58,68.92,166.3,791.46,105.17,14.22,2.6
2016-01-04 23:00:00,44.35,144.96,75.34,66.43,69.54,19.2,145.27,2.6,38.07,40.63,163.69,797.64,106.34,14.22,2.56
2016-01-05 00:00:00,44.35,140.35,75.1,66.11,69.78,19.2,147.39,2.32,38.11,41.17,159.67,795.36,107.21,14.22,2.68
2016-01-05 01:00:00,44.35,144.47,75.71,66.12,69.88,19.2,150.83,1.84,39.03,40.8,160.05,789.48,107.57,14.22,2.68
2016-01-05 02:00:00,44.35,135.47,75.66,66.09,70.08,19.2,150.74,1.72,38.52,40.42,152.27,777.0,106.94,14.22,2.64
2016-01-05 03:00:00,44.35,139.03,75.64,65.36,70.48,19.2,154.18,1.76,38.09,41.52,154.76,766.8,107.7,14.22,2.8
2016-01-05 04:00:00,44.35,139.87,75.29,65.89,69.65,19.2,155.03,1.72,37.96,40.41,150.61,738.18,107.76,14.22,2.84
2016-01-05 05:00:00,44.35,142.96,75.77,65.16,68.69,19.2,157.74,1.64,39.4,41.19,158.65,706.44,107.65,14.22,3.84
2016-01-05 06:00:00,44.35,141.91,85.52,66.71,70.19,19.2,155.9,1.52,38.18,40.82,155.55,687.18,108.58,14.22,3.88
2016-01-05 07:00:00,44.35,148.61,178.05,67.53,81.12,19.2,161.97,1.36,39.35,74.94,170.23,643.68,109.01,14.22,3.84
2016-01-05 08:00:00,44.35,283.65,205.82,69.34,98.13,19.2,163.98,1.56,54.38,109.92,199.31,636.0,95.25,14.22,3.84
2016-01-05 09:00:00,44.35,332.27,214.33,70.37,122.95,19.2,184.71,1.8,61.52,113.74,214.75,625.44,87.36,14.22,3.04
2016-01-05 10:00:00,44.35,313.77,221.0,71.62,130.89,19.2,201.08,1.72,65.9,108.2,207.44,612.84,87.32,14.22,2.8
2016-01-05 11:00:00,44.35,311.89,219.86,73.01,126.93,19.2,212.59,1.92,65.49,102.97,218.14,611.28,86.8,14.22,2.76
2016-01-05 12:00:00,44.35,320.68,220.23,72.81,125.61,19.2,209.72,2.0,67.48,101.45,226.02,609.24,85.51,14.22,2.72
2016-01-05 13:00:00,44.35,301.51,220.27,73.19,118.02,19.2,204.01,2.04,68.15,94.92,212.93,612.0,84.86,14.22,2.52
2016-01-05 14:00:00,44.35,285.42,210.55,73.85,115.13,19.2,208.56,2.04,67.55,93.95,205.08,611.04,84.46,14.22,2.44
2016-01-05 15:00:00,44.35,295.09,211.13,71.02,118.68,19.2,196.09,1.96,68.39,91.04,199.09,603.18,84.41,14.22,2.4
2016-01-05 16:00:00,44.35,303.21,197.43,68.42,110.19,19.2,191.36,2.48,64.62,89.47,199.21,601.38,83.63,14.22,2.32
2016-01-05 17:00:00,44.35,302.03,186.75,67.28,100.83,19.2,182.68,1.84,56.01,102.08,190.34,621.3,84.9,14.22,2.36
2016-01-05 18:00:00,44.35,298.23,181.75,65.37,99.0,19.2,183.66,2.04,56.62,110.78,200.68,647.1,101.73,14.22,2.0
2016-01-05 19:00:00,44.35,281.04,161.58,66.07,92.22,19.2,173.88,2.04,54.19,93.27,188.24,696.48,107.57,14.22,2.52
2016-01-05 20:00:00,44.35,270.39,115.98,65.61,78.89,19.2,154.88,2.2,54.6,88.49,186.74,751.14,106.4,14.22,2.72
2016-01-05 21:00:00,44.35,220.5,106.63,66.17,74.26,19.2,154.33,2.28,42.14,85.93,172.43,773.64,106.41,14.22,2.64
2016-01-05 22:00:00,44.35,201.16,101.05,65.99,72.28,19.2,148.23,2.08,40.74,75.07,169.43,786.0,107.1,14.22,2.48
2016-01-05 23:00:00,44.35,187.1,101.45,67.15,72.66,19.2,145.52,1.96,40.77,46.37,166.18,795.96,107.2,14.22,2.48
2016-01-06 00:00:00,44.35,188.44,100.8,66.19,73.01,19.2,150.07,1.92,39.94,45.44,162.63,793.98,107.67,14.22,2.48
2016-01-06 01:00:00,44.35,186.89,101.68,67.07,73.34,19.2,150.86,2.12,41.42,46.24,165.75,794.82,108.25,14.22,2.64
2016-01-06 02:00:00,44.35,186.82,101.38,66.33,73.58,19.2,150.56,1.76,40.06,45.6,150.51,792.0,107.76,14.22,2.64
2016-01-06 03:00:00,44.35,192.79,101.27,67.7,73.97,19.2,151.68,1.64,40.28,46.08,152.61,791.76,107.97,14.22,2.6
2016-01-06 04:00:00,44.35,187.54,101.45,65.99,73.67,19.2,152.47,1.76,41.1,46.42,150.29,767.04,108.24,14.22,2.48
2016-01-06 05:00:00,44.35,187.29,101.21,66.37,73.66,19.2,153.54,1.8,39.94,45.61,151.38,731.46,108.4,14.22,2.52
2016-01-06 06:00:00,44.35,187.59,100.42,65.4,73.68,19.2,156.64,1.84,40.53,52.94,149.5,701.7,107.95,14.22,2.52
2016-01-06 07:00:00,44.35,197.4,131.19,68.14,84.25,19.2,160.46,1.68,42.32,74.76,174.83,664.68,108.34,14.22,2.48
2016-01-06 08:00:00,44.35,259.26,209.37,74.25,104.13,19.2,167.72,1.64,55.41,102.04,189.48,649.92,95.34,14.22,2.48
2016-01-06 09:00:00,44.35,306.38,217.68,75.28,127.07,19.2,175.35,1.84,62.21,103.18,216.79,633.6,86.07,14.22,2.64
2016-01-06 10:00:00,44.35,285.06,223.58,80.81,137.93,19.2,202.51,1.76,66.4,101.06,218.2,620.94,85.48,14.22,2.6
2016-01-06 11:00:00,44.35,305.21,215.95,83.95,134.78,19.2,203.36,1.84,65.03,102.17,213.87,612.48,85.41,14.22,2.72
2016-01-06 12:00:00,44.35,305.92,205.83,83.79,130.46,19.2,196.0,1.96,66.95,98.8,209.02,612.18,84.21,14.22,2.36
2016-01-06 13:00:00,44.35,300.38,200.07,81.15,153.16,19.2,196.5,2.04,68.82,95.58,201.25,604.92,81.48,14.22,2.36
2016-01-06 14:00:00,44.35,288.01,200.44,82.38,150.28,19.2,194.15,2.04,68.89,93.56,200.06,599.46,82.67,14.22,2.32
2016-01-06 15:00:00,44.35,282.76,200.46,82.52,152.85,19.2,189.32,2.16,67.71,90.7,194.94,597.66,81.62,14.22,2.4
2016-01-06 16:00:00,44.35,285.96,186.7,79.51,142.1,19.2,177.74,2.44,67.22,86.7,186.78,593.22,79.36,14.22,2.44
2016-01-06 17:00:00,44.35,283.34,157.2,79.82,132.61,19.2,175.76,2.4,65.41,97.76,182.56,615.9,77.05,14.22,2.28
2016-01-06 18:00:00,44.35,288.23,145.3,79.02,131.67,19.2,175.65,1.8,57.93,104.59,186.42,650.58,90.36,14.22,2.4
2016-01-06 19:00:00,44.35,282.35,109.6,78.91,112.97,19.2,166.67,2.0,55.78,90.4,166.64,699.3,96.26,14.22,2.36
2016-01-06 20:00:00,44.35,257.17,91.63,79.1,98.94,19.2,154.66,2.32,56.59,86.49,167.18,758.7,95.85,14.22,2.32
2016-01-06 21:00:00,44.35,208.11,89.26,79.73,89.48,19.2,139.99,2.52,52.26,81.78,156.06,795.18,95.4,14.22,2.2
2016-01-06 22:00:00,44.35,189.82,84.31,78.5,87.84,19.2,135.81,2.32,42.98,71.54,153.46,809.76,95.72,14.22,2.44
2016-01-06 23:00:00,44.35,174.7,83.61,79.89,90.26,19.2,133.98,2.92,43.1,42.47,153.59,813.36,96.07,14.22,2.56
2016-01-07 00:00:00,44.35,168.41,83.84,78.62,86.49,19.2,136.96,2.64,41.68,41.49,150.29,811.56,95.75,14.22,2.48
2016-01-07 01:00:00,44.35,168.36,83.95,79.01,87.8,19.2,133.36,2.8,43.21,41.82,151.41,814.44,96.23,14.22,2.52
2016-01-07 02:00:00,44.35,168.75,83.58,78.61,90.99,19.2,135.42,2.32,41.65,42.08,147.75,810.54,95.74,14.22,2.52
2016-01-07 03:00:00,44.35,169.93,83.37,78.67,91.38,19.2,134.1,2.08,43.21,41.07,152.6,797.82,95.23,14.22,2.44
2016-01-07 04:00:00,44.35,165.95,83.63,78.11,91.36,19.2,136.96,2.04,42.91,41.48,149.78,768.42,96.24,14.22,2.48
2016-01-07 05:00:00,44.35,166.16,84.51,77.98,91.72,19.2,134.32,2.0,41.93,42.69,155.48,735.18,94.51,14.22,2.36
2016-01-07 06:00:00,44.35,167.04,83.69,77.23,97.97,19.2,135.98,1.72,42.88,43.28,147.36,717.06,94.92,14.22,1.84
2016-01-07 07:00:00,44.35,175.26,91.63,79.4,117.38,19.2,135.28,1.8,42.62,77.98,168.24,682.44,94.92,14.22,2.08
2016-01-07 08:00:00,44.35,280.6,192.86,83.92,130.63,19.2,151.51,1.88,54.08,100.88,184.59,668.58,85.31,14.22,2.32
2016-01-07 09:00:00,44.35,305.32,201.78,84.01,150.61,19.2,158.99,2.04,59.14,103.38,206.63,656.82,73.02,14.22,2.4
2016-01-07 10:00:00,44.35,299.83,206.56,83.31,156.06,19.2,178.59,2.28,59.29,100.42,198.34,648.36,73.75,14.22,2.36
2016-01-07 11:00:00,44.35,273.07,201.48,84.42,150.83,19.2,185.72,2.4,63.27,102.4,192.11,639.9,72.37,14.22,1.88
2016-01-07 12:00:00,44.35,264.68,196.88,84.28,143.16,19.2,183.84,2.56,64.06,103.06,190.94,634.98,72.88,14.22,1.72
2016-01-07 13:00:00,44.35,261.27,193.85,80.8,129.1,19.2,181.11,2.6,63.79,97.88,182.6,637.32,71.42,14.22,1.96
2016-01-07 14:00:00,44.35,249.76,188.88,77.14,124.8,19.2,181.96,2.36,62.04,93.95,187.32,632.16,71.49,14.22,1.88
2016-01-07 15:00:00,44.35,256.93,188.01,74.93,127.13,19.2,180.0,2.28,63.08,95.09,184.81,625.86,72.54,14.22,2.2
2016-01-07 16:00:00,44.35,257.42,172.18,75.34,120.53,19.2,169.68,2.32,63.75,90.14,177.36,626.4,72.88,14.22,1.64
2016-01-07 17:00:00,44.35,257.46,167.37,76.26,113.56,19.2,165.99,2.52,60.04,101.63,164.07,645.6,74.0,14.22,3.24
2016-01-07 18:00:00,44.35,250.47,162.64,78.56,109.57,19.2,162.23,2.52,56.31,105.19,163.67,667.74,85.35,14.22,4.0
2016-01-07 19:00:00,44.35,244.04,150.51,77.98,91.74,19.2,151.65,2.6,56.29,91.06,153.58,718.86,88.26,14.22,3.8
2016-01-07 20:00:00,44.35,209.21,126.9,78.66,72.98,19.2,142.61,2.28,55.27,86.1,149.89,780.18,88.39,14.22,3.88
2016-01-07 21:00:00,44.35,169.97,110.14,78.16,68.26,19.2,133.03,2.12,43.5,82.67,139.31,810.96,88.18,14.22,3.56
2016-01-07 22:00:00,44.35,156.63,91.72,79.9,68.19,19.2,123.69,2.04,43.11,72.35,134.68,819.66,88.62,14.22,3.72
2016-01-07 23:00:00,44.35,138.84,91.43,79.49,68.06,19.2,121.96,1.96,42.84,42.57,140.84,817.92,88.59,14.22,3.76
2016-01-08 00:00:00,44.35,136.3,90.9,77.81,68.28,19.2,122.16,2.04,43.0,42.84,142.34,814.74,88.36,14.22,2.08
2016-01-08 01:00:00,44.35,136.52,91.53,77.78,68.13,19.2,122.46,2.08,43.08,42.53,130.37,828.54,89.2,14.22,2.44
2016-01-08 02:00:00,44.35,135.16,91.11,77.83,68.38,19.2,126.09,1.96,40.89,42.91,132.3,832.02,88.71,14.22,2.12
2016-01-08 03:00:00,44.35,135.2,91.42,77.84,68.38,19.2,120.85,1.88,40.74,42.39,130.2,822.18,89.64,14.22,1.6
2016-01-08 04:00:00,44.35,134.21,91.14,78.14,68.68,19.2,125.24,1.84,40.87,42.75,138.13,794.64,88.96,14.22,1.92
2016-01-08 05:00:00,44.35,135.12,90.95,77.14,68.28,19.2,126.56,1.84,40.54,45.63,144.78,760.26,89.16,14.22,1.76
2016-01-08 06:00:00,44.35,137.76,111.71,76.42,76.97,19.2,128.58,1.52,40.33,46.1,133.18,730.38,87.82,14.22,1.72
2016-01-08 07:00:00,44.35,147.31,170.82,77.9,98.17,19.2,136.95,1.16,40.28,73.56,153.12,701.7,88.28,14.22,1.88
2016-01-08 08:00:00,44.35,242.75,188.92,83.59,115.35,19.2,145.74,1.2,50.72,108.33,174.29,688.2,83.97,14.22,1.96
2016-01-08 09:00:00,44.35,274.23,190.19,81.09,129.37,19.2,156.75,1.52,62.27,105.18,182.2,673.26,67.51,14.22,1.88
2016-01-08 10:00:00,44.35,253.92,195.75,81.85,138.21,19.2,173.17,1.36,62.86,102.31,193.27,666.84,68.29,14.22,2.2
2016-01-08 11:00:00,44.35,256.53,190.7,81.86,135.14,19.2,180.53,1.6,64.84,100.52,178.88,662.58,66.9,14.22,2.0
2016-01-08 12:00:00,44.35,257.57,185.32,80.93,130.32,19.2,177.99,1.84,64.53,97.95,178.75,658.38,67.14,14.22,1.8
2016-01-08 13:00:00,44.35,253.84,184.28,79.69,125.58,19.2,181.87,1.76,63.95,95.52,179.4,652.08,67.07,14.22,3.28
2016-01-08 14:00:00,44.35,236.64,185.65,80.74,120.08,19.2,190.19,1.8,64.9,95.78,171.93,644.64,66.29,14.22,3.84
2016-01-08 15:00:00,44.35,246.52,179.33,79.12,117.55,19.2,181.34,1.96,65.73,95.39,171.43,651.12,66.19,14.22,3.96
2016-01-08 16:00:00,44.35,249.26,160.04,78.43,105.06,19.2,184.36,2.2,62.57,92.69,173.42,643.5,66.79,14.22,4.0
2016-01-08 17:00:00,44.35,248.35,142.12,77.2,94.57,19.2,175.45,2.6,56.86,100.94,160.85,662.7,66.11,14.22,4.04
2016-01-08 18:00:00,44.35,243.19,141.62,77.69,90.65,19.2,166.05,2.8,55.32,102.72,159.24,690.6,86.35,14.22,4.04
