date,Rat_education_Kathryn,Rat_education_Theo,Rat_public_Kimber,Rat_office_Jamal,Rat_education_Lee,Rat_education_Kandice,Rat_office_Adele,Rat_office_Lora,Rat_public_Sharron,Rat_public_Joann,Rat_education_Calvin,Rat_public_Allie,Rat_public_Leo,Rat_public_Mark,Rat_assembly_Ezequiel
2016-01-03 11:00:00,731.69,467.24,246.76,629.86,313.56,98.43,656.31,490.73,27.24,10.93,28.31,3.16,13.81,20.08,64.54
2016-01-03 12:00:00,724.32,467.17,239.03,640.47,332.04,99.7,652.42,492.12,27.24,10.5,27.2,3.16,13.45,14.2,63.26
2016-01-03 13:00:00,708.23,477.44,216.26,649.27,339.06,100.28,648.67,496.24,27.42,10.84,25.92,6.37,13.29,13.75,59.64
2016-01-03 14:00:00,700.23,471.71,200.23,639.84,311.82,102.12,623.78,516.58,27.31,16.86,25.09,8.5,12.47,12.45,58.16
2016-01-03 15:00:00,689.68,463.82,200.0,637.21,267.18,99.89,596.73,521.27,27.02,17.56,25.11,8.61,13.51,11.19,57.64
2016-01-03 16:00:00,690.69,462.77,201.1,634.9,289.32,100.58,598.05,569.94,26.71,18.07,24.66,8.4,13.12,10.99,54.75
2016-01-03 17:00:00,689.5,475.9,200.52,633.53,313.41,115.73,589.28,589.96,26.63,18.09,41.91,8.58,12.83,12.65,55.09
2016-01-03 18:00:00,704.56,502.72,207.24,632.81,294.84,118.07,619.32,455.31,29.84,13.67,59.55,5.29,14.82,22.97,58.18
2016-01-03 19:00:00,717.11,555.21,219.37,634.94,316.98,117.83,608.6,437.04,33.75,12.63,62.37,4.67,15.75,28.62,60.19
2016-01-03 20:00:00,708.32,505.29,221.92,637.37,322.74,123.1,634.78,437.83,34.91,13.21,63.07,4.66,17.2,31.84,62.07
2016-01-03 21:00:00,677.51,531.47,208.09,630.15,330.09,121.07,658.1,433.32,34.41,13.16,63.22,4.63,16.52,31.86,61.7
2016-01-03 22:00:00,559.26,525.18,229.06,637.84,316.95,121.46,670.58,436.95,34.35,13.18,62.53,4.62,17.04,32.55,61.93
2016-01-03 23:00:00,558.61,485.54,227.57,640.38,296.94,107.5,667.35,423.2,34.71,13.25,32.81,4.63,16.48,33.36,63.51
2016-01-04 00:00:00,556.66,504.03,238.47,634.36,301.26,105.96,667.56,415.18,34.69,13.33,33.29,4.67,16.31,34.12,64.35
2016-01-04 01:00:00,560.94,488.06,213.22,638.48,299.13,106.02,670.91,385.03,35.09,13.27,33.72,4.8,15.53,33.23,65.45
2016-01-04 02:00:00,559.67,489.77,229.86,645.53,298.92,107.87,689.27,408.21,34.56,13.3,34.11,4.73,15.72,33.81,66.98
2016-01-04 03:00:00,561.91,470.31,249.6,637.66,297.51,104.0,678.16,412.1,34.88,13.25,34.41,4.7,15.96,33.92,67.46
2016-01-04 04:00:00,567.66,491.17,248.97,635.88,296.94,103.53,678.45,505.03,34.43,13.27,34.76,4.69,16.13,34.41,65.95
2016-01-04 05:00:00,687.66,483.12,289.05,639.33,298.62,105.21,668.78,565.56,35.03,13.34,34.6,4.71,16.29,35.27,67.12
2016-01-04 06:00:00,708.97,481.6,306.8,1029.25,400.95,104.11,721.53,619.28,33.98,13.26,34.68,4.7,16.95,36.13,67.44
2016-01-04 07:00:00,733.32,781.56,340.79,2426.14,590.88,102.24,1004.04,629.19,33.45,12.97,35.41,4.67,18.11,36.04,67.14
2016-01-04 08:00:00,770.48,1180.61,379.97,2406.83,614.31,99.94,1094.68,682.15,27.08,11.82,45.83,4.61,16.93,33.97,67.75
2016-01-04 09:00:00,835.62,1189.96,432.74,2322.08,564.12,105.81,1107.71,701.28,27.25,11.41,48.99,3.38,14.94,42.28,73.06
2016-01-04 10:00:00,858.82,1108.71,378.8,2118.52,517.77,101.83,1067.62,660.77,28.14,15.48,52.81,7.94,13.55,44.88,85.84
2016-01-04 11:00:00,864.82,1090.35,417.52,2130.37,461.55,104.29,1060.68,679.54,31.56,19.13,51.87,8.62,14.68,35.79,86.48
2016-01-04 12:00:00,850.1,1060.4,380.45,2091.06,362.31,105.85,1041.45,648.66,34.83,19.61,50.7,8.79,16.13,33.44,79.71
2016-01-04 13:00:00,847.58,1054.0,375.58,2127.83,344.1,103.33,1024.72,649.22,33.42,19.61,50.83,9.22,15.44,32.58,80.18
2016-01-04 14:00:00,844.3,1048.03,345.3,2168.9,370.98,104.45,996.43,647.76,30.92,19.51,50.52,9.02,14.6,31.72,85.47
2016-01-04 15:00:00,830.66,1030.82,312.44,2155.06,439.29,104.4,979.59,676.06,30.24,19.55,48.73,9.0,16.3,31.33,79.4
2016-01-04 16:00:00,833.25,1050.23,289.42,2211.04,500.52,103.57,955.67,699.24,29.61,20.18,49.28,9.25,17.62,33.01,68.52
2016-01-04 17:00:00,826.89,1078.11,241.74,2219.22,501.75,122.45,947.88,690.72,29.42,21.03,69.22,9.12,17.62,34.61,63.04
2016-01-04 18:00:00,819.78,1152.58,253.31,2182.99,510.54,116.21,941.05,699.9,31.0,21.72,84.13,10.45,18.63,44.25,68.96
2016-01-04 19:00:00,809.5,946.24,267.01,1385.67,510.75,116.41,750.09,692.41,34.82,22.35,81.24,10.41,20.01,47.02,64.63
2016-01-04 20:00:00,806.3,644.12,258.71,680.21,496.44,121.48,761.21,523.1,35.95,22.23,77.43,9.84,20.25,46.54,65.55
2016-01-04 21:00:00,766.4,629.25,271.63,666.48,514.89,121.54,709.86,521.97,36.41,21.94,74.44,9.85,20.38,46.88,57.84
2016-01-04 22:00:00,624.44,625.4,278.75,662.53,475.29,121.82,717.5,519.14,35.98,14.87,69.98,5.34,21.26,47.15,54.32
2016-01-04 23:00:00,628.09,602.07,260.68,663.06,332.37,108.94,718.49,503.1,35.8,13.82,38.12,4.9,20.15,47.57,53.72
2016-01-05 00:00:00,599.48,529.76,251.63,663.52,308.97,105.28,727.05,490.61,35.11,13.92,38.04,4.9,20.55,47.41,55.91
2016-01-05 01:00:00,593.81,562.05,259.28,724.78,308.61,104.82,732.69,478.84,35.35,13.9,37.6,4.89,19.85,47.38,54.04
2016-01-05 02:00:00,594.14,566.34,277.75,710.57,425.1,106.11,733.13,502.93,34.61,13.96,37.52,4.8,20.5,47.26,55.38
2016-01-05 03:00:00,598.62,581.76,278.91,681.58,428.76,105.49,771.47,521.84,34.72,13.93,37.48,4.81,19.16,50.36,54.0
2016-01-05 04:00:00,600.01,561.62,277.99,687.69,421.41,102.69,734.19,535.57,34.75,14.06,37.31,4.85,19.6,51.11,54.83
2016-01-05 05:00:00,736.09,584.57,286.6,690.57,433.83,104.65,770.67,753.16,34.57,14.04,37.22,4.82,19.86,51.01,53.94
2016-01-05 06:00:00,750.21,589.36,310.65,1381.63,467.22,103.5,796.08,765.53,34.76,14.07,38.56,4.84,20.66,50.35,55.61
2016-01-05 07:00:00,769.05,836.68,369.78,2608.73,649.35,100.93,1129.09,803.06,33.95,13.72,49.69,4.8,19.55,51.99,54.31
2016-01-05 08:00:00,819.19,1234.0,393.98,2624.28,684.6,101.91,1211.61,856.88,28.06,12.3,62.06,4.56,19.63,48.2,53.93
2016-01-05 09:00:00,878.43,1310.36,406.92,2446.44,645.54,109.32,1153.33,863.89,32.31,11.94,60.21,3.99,18.12,47.2,53.5
2016-01-05 10:00:00,869.94,1364.43,422.39,2238.01,593.22,105.72,1132.94,806.57,40.23,17.68,61.11,8.7,19.09,43.03,52.73
2016-01-05 11:00:00,831.02,1317.06,420.13,2134.64,522.63,107.95,1105.65,757.52,44.98,22.02,53.5,9.05,18.6,40.27,53.83
2016-01-05 12:00:00,825.95,1291.13,383.71,2141.55,443.25,102.92,1104.37,743.62,45.09,22.66,52.1,9.27,17.52,44.17,53.38
2016-01-05 13:00:00,812.21,1257.31,417.62,2191.25,447.27,101.8,1097.59,749.63,44.78,22.96,51.08,8.26,17.58,37.25,53.63
2016-01-05 14:00:00,815.79,1227.34,363.12,2205.6,455.25,104.45,1071.6,742.49,45.74,22.82,49.64,8.58,17.41,35.31,52.94
2016-01-05 15:00:00,815.57,1099.18,359.25,2145.55,509.4,103.66,1011.51,750.91,44.1,21.94,46.34,8.01,17.05,30.0,53.8
2016-01-05 16:00:00,797.61,1047.16,260.12,2132.77,557.61,105.84,961.08,790.52,43.9,21.47,45.33,8.46,18.86,30.61,49.61
2016-01-05 17:00:00,783.64,1113.39,242.55,2147.27,552.18,118.72,950.66,791.87,39.71,22.15,62.33,9.2,18.16,32.47,50.68
2016-01-05 18:00:00,763.64,1170.86,244.45,2184.0,555.12,121.4,952.81,779.77,39.06,23.85,78.86,10.3,19.04,43.04,77.4
2016-01-05 19:00:00,738.48,975.87,242.66,1506.56,562.26,122.91,779.47,761.18,42.65,24.12,75.8,10.52,20.44,45.39,109.1
2016-01-05 20:00:00,731.49,661.15,237.2,710.9,495.42,123.31,762.71,569.47,42.93,24.02,72.76,10.23,22.47,46.19,109.67
2016-01-05 21:00:00,699.74,645.47,234.59,682.14,474.27,122.48,722.15,559.31,42.01,24.11,69.51,9.84,21.33,45.2,105.8
2016-01-05 22:00:00,572.45,637.97,235.51,673.79,471.54,120.79,725.0,558.04,41.9,15.72,67.83,5.94,20.93,47.14,104.91
2016-01-05 23:00:00,574.75,611.67,231.67,666.97,299.07,106.45,691.39,532.67,41.57,15.18,37.49,5.15,21.17,47.23,104.47
2016-01-06 00:00:00,554.22,545.49,236.33,672.59,276.81,107.38,727.85,519.79,41.92,14.98,37.39,5.17,21.69,48.05,104.81
2016-01-06 01:00:00,545.99,526.87,235.75,703.62,273.54,104.81,693.45,464.77,42.44,15.04,37.51,5.23,19.66,47.82,104.4
2016-01-06 02:00:00,547.4,549.41,238.96,669.19,273.03,107.11,735.9,515.48,42.64,14.95,37.97,5.21,19.4,46.99,104.04
2016-01-06 03:00:00,544.26,528.47,253.62,670.61,272.73,105.53,710.52,517.52,41.96,14.96,38.91,5.23,19.22,46.61,104.19
2016-01-06 04:00:00,547.79,550.4,252.26,674.88,281.94,102.67,742.24,529.45,41.92,15.16,38.79,5.18,19.22,47.0,103.94
2016-01-06 05:00:00,668.52,561.73,255.31,679.72,287.19,103.8,694.44,763.57,41.75,14.92,38.84,5.18,19.72,47.52,104.87
2016-01-06 06:00:00,677.26,562.87,289.45,1186.26,385.92,105.7,791.23,761.34,40.96,15.12,38.91,5.14,21.09,48.01,103.62
2016-01-06 07:00:00,700.9,859.34,323.48,2604.3,604.11,99.41,1071.33,761.6,40.26,14.62,36.71,5.14,21.96,53.54,103.2
2016-01-06 08:00:00,730.39,1352.0,383.98,2595.0,683.43,100.28,1171.93,822.81,38.03,13.57,49.15,4.97,17.76,48.64,102.78
2016-01-06 09:00:00,798.41,1353.51,414.42,2402.66,598.29,103.7,1144.7,861.7,39.24,12.97,47.29,4.2,16.85,42.9,103.66
2016-01-06 10:00:00,815.54,1316.95,404.57,2164.08,516.15,104.74,1110.06,812.4,41.04,18.7,52.31,8.07,17.08,45.02,108.6
2016-01-06 11:00:00,822.46,1278.71,434.09,2143.75,450.99,103.25,1059.42,750.29,43.49,21.41,47.82,8.52,16.74,43.63,107.92
2016-01-06 12:00:00,809.76,1235.1,388.94,2158.99,389.61,100.79,1045.26,737.49,42.53,21.51,51.64,8.95,16.72,31.0,108.17
2016-01-06 13:00:00,796.14,1206.13,412.1,2184.95,358.8,101.75,1041.18,747.86,41.77,22.22,51.1,9.03,17.32,25.42,107.99
2016-01-06 14:00:00,796.28,1201.24,366.28,2158.61,381.12,103.97,1027.05,753.39,40.45,22.86,49.51,9.25,19.0,27.35,110.16
2016-01-06 15:00:00,785.94,1058.74,328.39,2114.56,432.51,102.57,958.93,766.48,46.27,22.48,46.98,8.68,18.14,20.14,110.3
2016-01-06 16:00:00,777.33,1049.06,276.37,2096.97,483.39,105.11,923.72,785.8,49.9,22.47,44.92,8.99,17.42,22.92,109.51
2016-01-06 17:00:00,778.37,1085.69,253.26,2090.71,475.68,118.02,922.88,795.47,48.79,22.22,59.24,8.81,16.93,30.5,108.43
2016-01-06 18:00:00,768.58,1154.27,258.09,2064.95,496.35,118.08,908.28,781.19,49.28,24.19,77.11,10.66,19.15,40.55,87.89
2016-01-06 19:00:00,767.19,953.65,268.24,1427.02,492.54,117.19,746.22,765.67,53.68,24.95,77.76,10.42,21.24,42.39,82.4
2016-01-06 20:00:00,767.29,652.92,263.47,723.1,441.66,118.48,743.46,588.8,53.97,24.81,73.77,10.36,22.46,42.93,70.04
2016-01-06 21:00:00,735.44,640.04,264.95,679.05,442.14,120.49,709.44,543.07,53.61,24.75,69.12,9.64,21.57,42.52,56.75
2016-01-06 22:00:00,612.18,629.39,258.36,662.62,409.95,123.33,669.57,542.07,53.9,15.78,67.48,5.6,21.09,42.45,52.23
2016-01-06 23:00:00,619.67,593.84,253.57,657.85,281.94,104.15,674.45,521.71,53.38,14.8,35.05,4.86,21.03,42.89,52.96
2016-01-07 00:00:00,587.69,523.49,246.62,664.97,247.74,103.74,678.37,520.55,53.36,14.75,34.12,4.77,21.79,41.66,51.91
2016-01-07 01:00:00,587.56,523.55,245.06,739.95,249.96,104.98,674.08,449.2,52.48,14.76,33.88,4.83,20.88,43.23,52.15
2016-01-07 02:00:00,585.04,525.72,245.53,658.76,260.31,105.02,688.79,488.97,52.51,14.65,33.91,4.79,19.81,43.89,52.3
2016-01-07 03:00:00,589.21,524.89,257.64,653.8,259.08,104.6,685.39,500.42,52.29,14.77,34.73,4.8,19.53,42.36,51.98
2016-01-07 04:00:00,594.12,509.08,262.94,662.5,258.51,103.01,674.12,505.32,51.88,14.8,33.93,4.8,19.99,41.76,51.76
2016-01-07 05:00:00,715.07,565.71,267.71,651.8,263.58,105.2,659.15,720.85,52.25,14.72,33.01,4.83,20.81,41.74,51.93
2016-01-07 06:00:00,728.91,576.16,286.81,909.26,286.95,102.17,710.27,714.49,52.05,14.6,33.92,4.76,19.95,42.83,51.64
2016-01-07 07:00:00,738.77,847.48,333.8,2264.85,526.89,100.08,989.63,762.43,51.39,14.28,33.95,4.77,20.09,42.86,51.89
2016-01-07 08:00:00,745.13,1347.95,381.91,2232.36,608.79,103.64,1055.09,805.06,48.48,13.3,38.62,4.73,19.61,40.46,50.39
2016-01-07 09:00:00,778.61,1352.63,454.77,2178.01,570.27,101.12,1082.31,834.89,49.8,12.42,44.66,3.57,18.14,37.13,52.69
2016-01-07 10:00:00,795.84,1320.3,469.22,2108.82,544.35,100.48,1105.74,819.01,50.03,12.42,48.68,3.37,16.68,35.5,92.49
2016-01-07 11:00:00,792.43,1293.32,390.68,2131.37,556.95,101.04,1071.02,790.56,51.11,12.45,50.36,3.37,16.14,34.39,107.64
2016-01-07 12:00:00,784.22,1245.55,465.23,2077.26,498.3,102.09,1047.93,774.42,49.77,12.53,47.19,3.39,17.93,33.89,105.75
2016-01-07 13:00:00,769.17,1174.76,406.93,2058.76,488.91,101.78,1027.8,770.78,49.11,13.73,48.8,6.42,16.26,32.93,108.34
2016-01-07 14:00:00,775.81,1189.97,364.62,2015.53,461.97,103.32,980.79,760.99,49.29,20.06,48.06,8.33,15.19,31.69,108.69
2016-01-07 15:00:00,773.13,1111.22,315.49,2033.08,466.62,104.33,1023.72,749.13,48.2,21.16,45.78,8.11,15.29,31.57,107.81
2016-01-07 16:00:00,765.51,1104.4,255.57,1994.79,473.34,102.76,986.38,743.74,47.81,21.27,43.75,8.15,16.03,32.5,106.13
2016-01-07 17:00:00,762.31,1176.16,240.72,1956.42,489.33,119.9,962.88,735.83,46.92,21.43,61.48,8.74,15.49,32.25,88.16
2016-01-07 18:00:00,765.98,1226.18,251.49,1851.88,476.43,116.92,954.07,730.45,49.9,23.27,74.66,10.25,16.8,40.36,51.89
2016-01-07 19:00:00,760.89,985.78,255.2,1262.36,464.49,117.86,769.24,707.72,53.2,24.4,70.74,10.22,18.11,41.09,59.14
2016-01-07 20:00:00,754.0,671.75,255.92,712.79,401.61,123.39,701.99,536.69,53.49,23.86,68.64,9.61,18.57,40.55,50.44
2016-01-07 21:00:00,720.89,627.9,249.3,664.75,357.03,122.46,713.92,520.93,52.91,23.84,63.35,9.01,20.32,40.2,53.15
2016-01-07 22:00:00,599.88,636.44,238.91,656.96,379.08,121.16,643.29,514.63,52.79,14.88,62.55,5.06,17.85,41.82,53.2
2016-01-07 23:00:00,594.98,585.47,235.17,651.65,283.05,106.59,680.22,485.98,53.02,13.37,31.8,4.74,17.77,42.08,52.04
2016-01-08 00:00:00,578.78,504.31,235.52,673.66,245.76,105.24,638.69,473.14,51.73,13.56,31.7,4.64,18.15,42.34,51.97
2016-01-08 01:00:00,224.96,506.94,238.48,701.88,245.49,106.55,683.04,479.48,51.93,13.47,32.17,4.7,17.93,41.1,47.19
2016-01-08 02:00:00,225.0,511.17,235.93,645.8,250.89,104.71,642.99,474.24,52.05,13.43,32.34,4.65,17.63,40.77,48.4
2016-01-08 03:00:00,224.26,508.17,252.29,650.92,248.01,105.38,667.99,472.41,52.05,13.44,32.47,4.65,17.65,41.94,49.02
2016-01-08 04:00:00,226.71,508.3,256.54,657.23,249.96,103.87,647.52,476.57,53.05,13.36,31.62,4.65,18.81,40.4,49.2
2016-01-08 05:00:00,326.75,512.61,258.92,646.61,249.51,103.62,667.4,652.67,51.75,13.34,32.19,4.62,17.53,40.57,50.87
2016-01-08 06:00:00,330.21,523.69,290.97,830.72,275.13,105.71,681.96,664.77,51.64,13.47,33.29,4.61,18.07,42.32,48.55
2016-01-08 07:00:00,337.0,830.68,334.29,2134.27,529.47,98.98,925.72,699.73,50.87,12.88,33.33,4.62,18.6,45.95,48.98
2016-01-08 08:00:00,343.88,1356.63,369.45,2140.23,589.14,100.32,1040.51,766.11,45.03,12.36,41.82,4.62,18.1,35.96,50.88
2016-01-08 09:00:00,387.01,1331.04,422.38,2056.38,547.14,104.27,1071.85,764.37,47.06,11.2,45.79,3.63,16.75,29.65,55.07
2016-01-08 10:00:00,399.73,1304.45,394.83,1998.65,520.59,101.6,1069.52,779.63,47.32,16.15,46.92,8.04,16.24,29.7,79.09
2016-01-08 11:00:00,404.51,1278.86,442.1,1998.12,519.12,102.58,1053.27,769.52,45.84,19.88,47.71,8.34,17.76,24.13,105.16
2016-01-08 12:00:00,402.53,1216.76,360.94,1966.27,505.98,103.05,1022.72,749.48,48.22,20.22,47.57,8.55,19.42,25.38,103.34
2016-01-08 13:00:00,388.32,1226.43,338.3,1956.99,498.27,102.25,996.44,737.79,46.07,20.08,48.52,9.23,20.56,23.4,81.09
2016-01-08 14:00:00,396.86,1156.54,324.1,1945.06,481.44,105.08,995.83,737.07,45.22,20.14,47.84,9.0,18.44,23.78,68.47
2016-01-08 15:00:00,393.34,1108.58,312.58,1951.4,525.75,105.96,992.85,721.79,44.84,20.26,46.01,8.79,16.25,20.66,71.14
2016-01-08 16:00:00,384.97,1106.27,211.22,1972.62,509.61,106.21,978.51,726.44,43.58,20.19,45.98,9.07,15.55,20.91,65.81
