date,Fox_lodging_Helen,Fox_education_Andre,Fox_assembly_Tony,Fox_education_Claire,Fox_education_Ray,Fox_office_Thelma,Fox_office_Karima,Fox_office_Clayton,Fox_education_Yolande,Fox_office_Edythe,Fox_education_Ollie,Fox_assembly_Audrey,Fox_assembly_Sheldon,Fox_lodging_Stephen,Fox_education_Eddy
2016-01-04 11:00:00,315.65,595.37,98.46,94.48,59.95,173.94,99.43,74.84,590.47,134.9,104.69,20.08,103.81,60.6,415.13
2016-01-04 12:00:00,314.82,544.09,98.54,93.42,60.47,177.25,99.9,76.34,585.5,133.55,106.79,18.38,102.16,59.88,409.99
2016-01-04 13:00:00,305.82,549.46,98.91,89.24,59.38,174.37,100.62,77.81,582.56,129.85,105.93,17.99,107.41,58.89,400.62
2016-01-04 14:00:00,309.72,569.64,97.91,85.79,56.51,171.16,99.97,79.13,592.95,131.98,106.17,18.2,104.71,60.43,397.36
2016-01-04 15:00:00,301.25,570.56,97.46,82.3,53.86,172.14,97.08,78.36,590.11,130.47,108.33,18.19,107.25,62.4,394.52
2016-01-04 16:00:00,311.37,608.17,98.12,80.01,49.75,167.71,97.07,78.13,572.9,130.29,107.92,17.87,111.38,71.91,404.55
2016-01-04 17:00:00,320.75,583.75,97.52,75.1,50.9,144.84,94.97,68.37,558.97,126.87,110.19,18.08,115.53,66.09,407.33
2016-01-04 18:00:00,314.7,539.8,101.66,72.87,51.84,133.48,89.82,62.62,528.64,127.23,114.84,17.79,115.07,68.45,393.67
2016-01-04 19:00:00,316.68,497.41,101.02,72.61,52.38,119.07,89.35,62.02,508.2,118.2,112.65,16.8,119.51,65.78,390.85
2016-01-04 20:00:00,327.52,481.41,83.07,72.72,53.55,105.98,89.22,61.02,494.17,116.49,114.79,17.04,97.27,68.03,394.6
2016-01-04 21:00:00,330.47,471.31,76.59,72.61,53.29,105.29,75.12,61.17,478.23,111.74,115.02,17.05,52.09,65.6,402.69
2016-01-04 22:00:00,316.9,455.88,64.13,72.66,54.96,111.83,27.86,60.85,474.05,106.98,106.41,17.18,52.6,68.98,295.47
2016-01-04 23:00:00,310.05,449.41,55.55,73.36,55.21,106.25,25.84,55.19,470.17,102.54,98.84,17.24,49.42,65.96,160.45
2016-01-05 00:00:00,297.22,437.93,49.65,72.93,55.81,110.25,27.28,33.87,471.44,101.58,99.95,17.11,47.46,62.89,165.79
2016-01-05 01:00:00,299.13,466.08,49.99,73.03,59.09,110.98,26.43,35.25,473.25,101.35,81.7,17.57,48.06,64.39,164.02
2016-01-05 02:00:00,297.2,263.04,50.5,72.34,57.86,106.33,25.94,30.49,478.65,99.27,78.79,16.95,47.43,63.66,393.78
2016-01-05 03:00:00,294.55,384.83,49.48,72.91,58.73,108.09,25.93,29.2,478.16,102.53,77.4,17.05,46.51,60.61,421.9
2016-01-05 04:00:00,296.35,487.49,49.62,70.08,60.87,110.71,26.65,29.12,489.3,103.21,76.61,16.93,47.25,59.73,402.89
2016-01-05 05:00:00,293.72,452.6,71.19,70.23,58.97,119.65,25.3,40.39,496.19,108.99,84.27,16.78,69.77,60.35,404.63
2016-01-05 06:00:00,295.23,449.82,89.34,72.32,63.15,124.73,63.68,51.11,502.26,115.86,86.86,16.81,120.94,58.69,402.59
2016-01-05 07:00:00,295.38,456.37,95.91,77.55,74.54,135.41,80.73,58.42,513.05,120.23,86.57,16.64,131.12,57.47,404.98
2016-01-05 08:00:00,305.15,495.81,90.92,84.32,77.1,173.16,89.73,62.98,528.49,122.3,92.28,17.19,134.63,54.71,428.33
2016-01-05 09:00:00,304.52,531.56,88.78,89.12,74.67,188.92,93.34,73.82,567.09,128.18,96.55,19.66,137.86,59.72,417.91
2016-01-05 10:00:00,307.57,546.57,86.44,93.4,73.01,187.16,97.41,79.13,557.81,128.93,100.02,22.95,140.13,55.12,421.71
2016-01-05 11:00:00,302.63,552.42,86.36,92.14,71.56,188.74,98.79,80.49,577.05,128.99,102.2,22.01,140.56,59.44,422.41
2016-01-05 12:00:00,301.88,538.76,85.94,92.39,67.5,185.87,100.0,79.94,568.38,130.36,98.05,20.68,133.91,63.08,427.21
2016-01-05 13:00:00,292.72,540.07,88.27,86.94,66.37,177.98,99.38,77.98,584.17,129.45,103.53,19.34,140.01,57.52,414.33
2016-01-05 14:00:00,327.25,582.53,87.67,85.96,68.72,179.89,100.86,81.14,591.68,131.07,101.98,19.33,136.95,60.94,420.76
2016-01-05 15:00:00,313.72,572.89,87.66,85.6,64.26,177.49,99.86,81.84,594.35,133.05,96.58,21.56,139.48,57.61,415.44
2016-01-05 16:00:00,328.68,546.96,87.04,81.81,60.99,177.04,98.02,81.2,595.33,136.99,97.5,18.45,134.39,60.77,424.68
2016-01-05 17:00:00,331.78,558.52,87.98,75.78,62.69,154.2,91.02,69.36,559.42,141.58,95.13,17.63,135.59,63.73,432.19
2016-01-05 18:00:00,334.43,541.92,93.05,73.29,62.88,139.54,89.82,64.83,526.95,133.31,95.48,19.08,129.34,65.79,427.74
2016-01-05 19:00:00,328.2,495.34,94.11,72.91,64.22,124.33,89.89,63.02,503.99,126.95,94.94,18.84,130.46,68.57,431.0
2016-01-05 20:00:00,321.93,501.91,89.85,73.49,62.22,112.96,90.86,60.01,493.42,125.58,93.92,13.9,117.06,75.74,425.43
2016-01-05 21:00:00,332.65,472.07,85.61,73.39,62.65,102.85,74.2,59.72,479.64,114.54,95.54,13.75,50.53,64.53,434.64
2016-01-05 22:00:00,315.92,443.6,71.7,73.02,62.71,109.79,26.79,59.89,474.04,115.16,86.72,13.68,44.69,65.89,312.63
2016-01-05 23:00:00,307.67,448.86,61.14,73.77,64.01,108.31,26.06,52.89,471.66,112.46,83.3,13.33,41.49,69.62,166.63
2016-01-06 00:00:00,303.67,447.97,49.62,74.23,64.82,107.45,25.52,27.29,465.68,108.26,81.48,13.7,41.14,75.08,170.1
2016-01-06 01:00:00,301.53,438.96,51.09,74.8,65.04,115.31,25.34,28.68,466.68,107.73,79.82,13.89,41.1,65.57,165.25
2016-01-06 02:00:00,296.32,431.7,50.73,74.22,67.44,105.98,27.44,29.0,469.32,108.94,82.88,14.02,40.0,65.79,414.58
2016-01-06 03:00:00,299.48,432.51,50.74,74.33,67.74,109.06,26.15,26.56,466.28,109.6,81.8,13.69,40.05,61.94,471.08
2016-01-06 04:00:00,297.55,433.08,47.24,71.23,71.38,119.97,26.08,24.31,459.63,107.69,79.73,13.52,40.9,61.35,455.77
2016-01-06 05:00:00,300.9,411.09,67.66,72.11,69.07,128.4,24.83,37.9,457.74,112.68,89.01,13.69,58.88,61.08,448.02
2016-01-06 06:00:00,293.95,424.31,88.27,78.24,75.2,131.03,61.74,53.47,468.1,119.33,91.84,13.66,124.73,60.8,447.93
2016-01-06 07:00:00,300.03,433.28,96.94,84.48,82.32,140.45,77.34,57.42,494.77,123.38,92.35,13.27,130.94,58.36,453.3
2016-01-06 08:00:00,312.53,486.64,98.23,87.09,80.61,187.52,85.18,59.44,521.63,123.56,96.88,15.46,130.31,58.84,447.49
2016-01-06 09:00:00,289.52,502.12,95.65,91.92,75.52,186.3,93.29,73.61,547.04,129.4,99.52,15.17,135.81,57.55,427.59
2016-01-06 10:00:00,275.42,520.59,89.04,97.05,69.9,178.98,98.1,75.23,566.48,135.93,104.26,15.7,148.63,57.53,419.39
2016-01-06 11:00:00,314.4,562.14,87.2,96.47,72.6,181.14,99.05,77.79,582.24,142.64,109.37,16.53,152.74,62.56,426.89
2016-01-06 12:00:00,283.17,576.43,85.02,93.46,70.92,184.73,96.61,80.68,594.54,143.16,113.94,17.29,153.83,58.6,397.17
2016-01-06 13:00:00,307.78,591.64,89.76,93.61,67.62,185.01,94.39,80.86,586.89,142.26,119.36,17.15,147.77,57.27,410.39
2016-01-06 14:00:00,296.52,614.53,89.29,91.47,65.54,180.28,96.36,81.08,614.82,140.99,117.93,16.29,144.66,58.75,406.71
2016-01-06 15:00:00,298.38,553.32,90.47,86.93,58.92,180.51,96.86,79.64,624.66,137.37,117.16,16.75,134.43,58.78,401.7
2016-01-06 16:00:00,314.4,538.93,88.99,80.88,58.82,176.77,94.27,80.45,576.33,135.08,112.07,16.16,107.05,57.31,409.46
2016-01-06 17:00:00,329.8,519.96,91.33,75.13,63.82,165.77,93.97,68.54,547.81,138.42,105.56,16.51,108.08,60.58,415.21
2016-01-06 18:00:00,330.38,527.59,96.47,72.93,66.38,141.09,91.22,68.81,512.69,140.98,103.05,17.76,113.76,63.29,408.67
2016-01-06 19:00:00,326.92,497.26,101.12,72.64,66.53,121.64,89.92,63.76,489.54,130.79,96.06,19.03,119.87,64.04,417.0
2016-01-06 20:00:00,326.97,482.38,85.07,72.59,68.91,119.07,92.93,63.25,482.27,123.02,90.07,17.03,102.27,64.66,410.17
2016-01-06 21:00:00,345.53,447.8,79.42,72.87,71.68,115.33,78.79,62.55,466.53,116.72,89.09,13.45,41.46,70.59,418.66
2016-01-06 22:00:00,329.03,450.4,64.39,72.98,71.48,119.09,30.09,63.21,453.75,111.07,81.46,13.27,41.45,71.64,304.0
2016-01-06 23:00:00,312.23,460.35,50.25,72.94,72.45,116.27,29.06,56.4,451.72,106.77,74.46,13.22,41.29,68.53,159.08
2016-01-07 00:00:00,304.97,458.79,42.16,72.96,73.08,113.34,26.01,34.55,458.1,104.42,76.0,13.35,41.74,67.94,168.94
2016-01-07 01:00:00,301.48,461.43,43.21,74.12,74.64,125.87,26.17,34.53,451.13,103.84,74.65,13.81,40.33,70.08,162.61
2016-01-07 02:00:00,302.17,448.59,42.69,75.29,76.28,111.99,25.6,31.99,621.08,103.16,77.96,13.87,40.05,63.4,402.77
2016-01-07 03:00:00,300.03,456.53,42.27,73.68,74.81,111.64,25.31,30.97,486.65,107.49,75.05,13.27,40.39,62.44,458.26
2016-01-07 04:00:00,297.1,449.79,41.0,70.19,73.93,119.84,62.66,30.73,445.45,108.11,74.27,13.21,40.92,60.54,435.24
2016-01-07 05:00:00,297.1,427.75,64.35,69.73,71.8,125.94,74.67,41.88,438.75,113.87,83.84,13.16,69.57,59.29,429.56
2016-01-07 06:00:00,296.57,448.38,82.48,73.23,75.45,131.53,78.72,49.97,435.46,119.67,88.52,13.3,132.61,60.73,427.58
2016-01-07 07:00:00,300.55,439.56,92.94,77.34,77.04,142.84,83.3,59.5,451.75,126.82,88.65,13.07,129.39,58.73,436.65
2016-01-07 08:00:00,303.62,483.38,92.23,80.28,81.69,177.68,86.31,64.65,473.47,133.44,91.1,14.07,127.98,57.58,443.82
2016-01-07 09:00:00,317.9,511.77,91.43,88.65,85.7,190.17,96.44,75.76,510.1,129.38,99.29,16.45,131.16,60.08,434.7
2016-01-07 10:00:00,313.6,512.05,91.83,89.04,85.29,190.91,97.71,79.37,526.2,137.14,105.19,20.08,133.14,58.95,435.66
2016-01-07 11:00:00,324.62,536.51,89.82,91.97,86.8,194.48,99.66,80.52,537.23,140.91,107.77,20.79,138.05,60.06,438.01
2016-01-07 12:00:00,313.2,548.98,90.46,89.57,84.15,195.65,99.52,85.15,524.11,138.56,105.79,20.86,136.22,61.36,428.04
2016-01-07 13:00:00,317.6,575.29,91.15,88.44,80.09,188.56,100.99,83.16,530.02,139.38,109.17,19.51,133.91,63.01,435.24
2016-01-07 14:00:00,308.27,540.0,94.85,86.51,77.11,184.74,97.27,84.5,556.21,141.23,112.99,20.52,135.48,67.49,427.1
2016-01-07 15:00:00,323.35,567.01,92.63,84.87,74.38,183.91,96.44,83.01,556.59,141.43,114.36,20.35,132.03,68.48,426.37
2016-01-07 16:00:00,348.53,546.9,89.55,88.53,73.02,178.22,95.94,81.16,543.35,144.74,114.73,19.98,132.45,68.43,439.49
2016-01-07 17:00:00,353.12,515.7,90.89,85.64,73.72,155.65,93.67,69.14,513.96,142.52,100.97,19.95,130.82,67.79,435.48
2016-01-07 18:00:00,342.83,530.06,98.98,80.19,71.89,143.11,89.44,63.28,489.79,132.41,98.17,20.23,135.89,77.39,427.58
2016-01-07 19:00:00,341.2,493.19,101.62,81.41,72.38,132.03,88.99,60.96,465.06,120.35,99.05,20.43,134.71,73.94,430.72
2016-01-07 20:00:00,360.02,500.14,85.09,80.6,74.03,132.91,88.66,58.94,455.19,113.86,93.75,17.37,116.63,74.61,430.71
2016-01-07 21:00:00,362.48,477.63,73.36,79.53,75.54,121.52,76.01,58.03,448.23,113.22,94.59,13.84,44.78,82.22,437.21
2016-01-07 22:00:00,339.7,452.08,55.01,78.93,75.48,124.85,26.23,56.52,442.4,112.37,85.93,14.75,42.42,74.55,324.67
2016-01-07 23:00:00,322.45,459.64,46.73,78.37,79.24,127.99,25.83,49.11,440.32,108.25,81.22,13.39,44.06,75.29,183.75
2016-01-08 00:00:00,319.37,470.31,41.26,78.31,81.26,118.98,26.95,26.63,436.13,104.63,80.82,13.48,45.54,71.83,182.02
2016-01-08 01:00:00,312.35,424.02,42.02,78.2,84.49,130.14,26.49,25.41,432.84,106.07,81.66,13.4,45.22,66.33,172.95
2016-01-08 02:00:00,308.93,435.95,43.19,76.89,81.26,125.74,26.58,28.98,430.47,107.11,81.08,13.14,42.0,64.6,406.83
2016-01-08 03:00:00,302.55,441.15,41.88,71.88,80.14,123.63,26.38,30.57,426.33,107.19,89.27,13.4,42.29,63.0,465.13
2016-01-08 04:00:00,304.3,430.4,41.15,69.41,79.97,128.93,26.92,29.9,428.45,107.07,90.01,13.44,42.53,62.39,458.72
2016-01-08 05:00:00,302.47,416.46,64.2,69.05,78.76,134.01,26.56,34.3,428.15,110.79,99.4,13.41,80.38,61.99,447.58
2016-01-08 06:00:00,303.25,419.76,83.75,72.16,81.71,142.61,54.15,42.09,449.41,115.35,106.62,13.35,148.32,61.68,449.05
2016-01-08 07:00:00,302.95,462.21,88.53,78.56,89.69,159.99,69.27,44.31,466.76,119.61,108.52,12.97,146.29,60.66,455.48
2016-01-08 08:00:00,308.58,446.78,86.7,89.5,89.57,194.85,78.41,50.64,493.26,131.19,111.78,13.03,146.32,56.56,468.73
2016-01-08 09:00:00,311.67,482.9,91.78,95.85,92.7,204.48,89.83,62.31,518.66,137.35,118.75,13.01,139.85,57.26,451.32
2016-01-08 10:00:00,306.88,541.52,90.97,100.66,89.97,193.99,93.12,70.51,525.54,141.66,118.06,15.8,141.23,66.82,441.38
2016-01-08 11:00:00,294.65,565.01,89.68,100.95,84.47,190.32,95.36,78.93,538.16,142.43,111.4,14.93,145.61,61.52,437.99
2016-01-08 12:00:00,304.68,546.82,87.18,99.83,80.59,185.23,99.91,78.9,537.43,142.86,105.84,15.19,139.77,62.44,432.0
2016-01-08 13:00:00,334.12,564.57,96.65,97.78,79.1,182.32,99.45,80.7,527.1,142.82,106.64,12.82,147.85,79.67,436.5
2016-01-08 14:00:00,346.53,551.51,91.99,93.29,80.49,181.75,105.3,80.15,549.4,142.66,105.48,13.03,141.71,75.29,432.6
2016-01-08 15:00:00,305.22,569.25,91.61,91.09,79.3,175.98,105.07,80.71,547.43,144.04,113.32,12.94,146.05,68.89,433.44
2016-01-08 16:00:00,331.58,554.23,95.36,86.62,69.28,181.91,104.86,79.43,539.77,141.69,119.35,12.95,139.97,65.49,437.44
2016-01-08 17:00:00,351.13,565.41,95.63,82.23,72.29,156.93,97.89,67.37,519.17,141.97,104.04,13.2,141.5,71.55,442.19
2016-01-08 18:00:00,358.35,517.99,98.18,80.33,75.0,137.6,94.9,60.98,503.17,132.25,96.42,13.44,138.12,68.03,429.19
